userId;circleId;joinedDate
U1;C11;2021/09/01
U1;C9;2023/12/07
U2;C26;2025/07/28
U3;C26;2025/04/17
U3;C23;2023/07/22
U3;C14;2024/06/01
U3;C49;2022/03/17
U3;C38;2023/06/12
U4;C30;2024/04/16
U4;C9;2023/09/28
U4;C1;2025/02/15
U4;C40;2023/12/17
U4;C14;2023/07/13
U5;C42;2024/06/07
U6;C14;2021/09/22
U6;C35;2021/09/26
U7;C47;2022/04/07
U7;C8;2023/05/19
U7;C41;2022/02/17
U7;C16;2022/10/29
U8;C16;2024/07/08
U8;C42;2025/01/20
U8;C41;2024/10/23
U8;C40;2023/05/29
U8;C37;2024/06/04
U9;C16;2022/09/24
U9;C24;2022/02/21
U9;C49;2022/07/09
U10;C38;2024/12/25
U10;C13;2025/05/31
U10;C50;2022/12/22
U11;C10;2022/10/24
U11;C25;2021/12/23
U11;C1;2024/08/25
U12;C27;2022/12/21
U12;C2;2025/03/22
U12;C26;2023/09/21
U12;C43;2023/02/26
U13;C20;2022/03/18
U13;C21;2021/09/04
U13;C38;2023/11/26
U13;C46;2024/08/30
U13;C44;2025/01/18
U14;C47;2025/02/22
U14;C12;2024/06/16
U14;C16;2023/05/09
U14;C43;2024/06/27
U15;C16;2023/09/20
U15;C40;2024/06/11
U15;C20;2023/01/30
U15;C7;2024/08/09
U15;C12;2022/05/21
U16;C31;2025/08/27
U16;C43;2022/04/27
U16;C18;2023/08/24
U16;C26;2024/03/02
U17;C43;2022/06/06
U17;C15;2021/10/28
U17;C26;2025/08/24
U18;C16;2025/02/09
U18;C47;2022/03/02
U18;C19;2024/09/12
U18;C43;2025/08/11
U19;C25;2025/06/07
U19;C39;2023/10/10
U19;C34;2023/12/10
U19;C49;2022/10/28
U19;C6;2025/03/05
U20;C15;2023/09/30
U20;C23;2024/10/12
U21;C18;2021/09/24
U21;C13;2022/10/05
U21;C23;2023/02/16
U21;C39;2025/01/13
U21;C30;2022/08/19
U22;C27;2024/08/06
U22;C44;2024/11/22
U23;C7;2021/11/28
U23;C10;2022/03/15
U23;C46;2022/01/09
U24;C35;2022/04/19
U24;C41;2024/03/22
U24;C36;2025/03/15
U25;C46;2022/06/17
U25;C1;2025/08/26
U25;C45;2022/08/24
U26;C10;2022/06/27
U26;C6;2025/06/27
U26;C33;2022/09/26
U27;C18;2024/12/13
U27;C32;2024/09/13
U28;C24;2023/03/05
U29;C7;2023/08/15
U29;C5;2024/07/02
U29;C21;2023/07/03
U29;C46;2022/10/05
U30;C4;2023/03/03
U30;C36;2023/05/25
U30;C13;2025/07/02
U31;C5;2022/07/07
U31;C17;2024/03/01
U31;C36;2024/12/05
U31;C29;2023/05/10
U32;C38;2024/10/10
U32;C26;2022/02/08
U32;C4;2025/07/01
U33;C34;2022/01/09
U34;C21;2025/03/23
U34;C50;2024/12/23
U35;C16;2021/12/09
U35;C22;2022/02/22
U35;C27;2022/08/29
U35;C17;2022/07/04
U35;C10;2024/07/05
U36;C9;2023/08/19
U36;C17;2023/09/14
U37;C3;2024/09/05
U37;C41;2022/01/31
U37;C49;2024/10/04
U37;C12;2021/12/16
U38;C30;2025/03/18
U38;C40;2022/11/12
U38;C1;2023/09/14
U39;C13;2022/02/07
U39;C50;2025/07/27
U40;C15;2022/04/05
U40;C1;2021/10/19
U40;C8;2024/07/30
U40;C49;2025/03/26
U41;C47;2022/04/12
U41;C24;2023/12/28
U41;C2;2021/10/29
U41;C38;2024/07/28
U41;C34;2023/01/22
U42;C36;2022/11/03
U42;C10;2023/12/04
U42;C1;2021/11/27
U42;C46;2023/06/24
U43;C14;2021/10/01
U43;C35;2022/05/16
U43;C38;2024/09/30
U44;C43;2024/12/03
U44;C32;2022/02/04
U45;C48;2025/07/31
U46;C21;2024/06/08
U46;C20;2024/05/24
U46;C8;2025/07/19
U46;C24;2022/01/10
U46;C2;2022/04/02
U47;C31;2024/10/28
U47;C5;2021/11/16
U48;C6;2024/10/16
U48;C25;2023/12/03
U48;C40;2021/11/19
U48;C47;2023/12/13
